license_num,facility_name,phone_num,action_comment
5881268,West End Radiological Laboratories Limited,416-763-4331,Met standards.
6597961,West Toronto Eye Care,416-760-8777,Met standards.
5356493,Yonge & Eglinton Diagnostic Imaging,416-485-5793,Met standards.
8626306,Youthdale Child and Adolescent Sleep Centre,416-703-0505,Met standards.
8849984,Tottenham Diagnostic Imaging,905-936-4005,Met standards.
4993143,Kevin Lachapelle Medicine Professional Corporation,613-965-5777,Met standards.
7076413,Trenton Diagnostics Inc.,613-392-4446,Met standards with some recommendations made for improvement.
4923529,Trenton Diagnostics Inc.,613-392-4446,Met standards.
1309439,2727475 Ontario Inc.,,Facility has not been assessed during current ownership.
8833275,Uxbridge Medical Imaging,647-286-8661,Facility has not been assessed during current ownership.
2200847,Vaughan Pulmonary Function,289-217-6211,Met standards.
3407890,X-Ray Associates,289-553-6336,Met standards.
5981346,Georgian Radiology Consultants - Wasaga Beach,705-422-2255,Met standards.
9479040,Wentworth-Halton X-Ray and Ultrasound Inc.,905-689-0877,Met standards.
1063914,Cosmetic Surgery Clinic of Waterloo,519-746-1132,Met standards.
2343444,K W Cardio Pulmonary Services,519-741-5252,Met standards.
5179105,Mednik Sleep Studies & Research Centre Inc.,519-745-2621,Met standards.
5072418,Mobile Ultrasound,519-746-3457,Met standards.
2838225,New KARMA Ultrasound,519-570-3660,Met standards.
7641842,True North Imaging,519-576-8760,Met standards.
4092520,True North Imaging,519-576-8760,Met standards.
499537,True North Imaging,519-576-8760,Met standards.
4023918,True North Imaging,519-746-3457,Met standards.
2640846,Waterloo Nuclear & Radiography,519-206-0707,Met standards.
99490,Greater Niagara Medical Imaging,905-735-2929,Met standards.
210879,Dr. Clifford A. Korzinstone,905-723-8551,Met standards.
5456817,Durham Ultrasound,905-444-9493,Met standards.
8446982,Impexxus Medical Imaging,905-576-9729,Met standards.
1454827,MyHealth Centre - Whitby Mall,905-576-9729,Met standards.
2391568,MyHealth Centre - Whitby Nuclear Medicine,905-430-3277,Met standards.
5324144,North Whitby X-Ray and Ultrasound,905-655-8313,Met standards.
6479141,West Whitby Sleep Clinic,905-721-4052,Met standards.
8566457,Whitby Cardiovascular,905-666-9504,Met standards.
1739204,Whitby Centre For Sleep Disorders,905-668-5590,Met standards.
2138487,Whitby Clinic X-Ray & Ultrasound,905-666-4206,Met standards.
3473798,Whitby Health Center,905-444-9292,Facility has not been assessed during current ownership.
3810104,Whitby Health Centre,905-721-3588,Met standards.
68591,Whitby Medical X-Ray and Ultrasound,905-430-1781,Met standards.
9631550,Whitby X-Ray & Ultrasound Imaging,905-493-3775,Met standards.
4360874,2858737 Ontario Ltd.,519-977-6643,Facility has not been assessed during current ownership.
3214899,Anwist Diagnostics Inc.,519-255-7964,Met standards.
6345894,Clear Medical Imaging,519-256-4914,Met standards.
7981219,Clear Medical Imaging,519-256-4914,Met standards.
9721188,Clear Medical Imaging,519-256-4914,Met standards.
9863593,Clear Medical Imaging,519-526-4914,Met standards.
5701240,Clear Medical Imaging,519-256-4914,Met standards.
780453,Clear Medical Imaging,519-256-4914,Met standards.
9912394,Clear Medical Imaging,519-256-4914,Met standards.
6200526,Clear Medical Imaging,519-256-4914,Met standards.
991166,Clear Medical Imaging,519-256-4914,Met standards.
604290,Clear Medical Imaging,519-256-4914,Facility has not been assessed during current ownership.
3461204,Clear Medical Imaging,519-256-4914,Facility has not been assessed during current ownership.
901510,Clear Medical Imaging,519-256-4914,Facility has not been assessed during current ownership.
1154419,Clear Medical Imaging,519-256-4914,Met standards.
3885239,Clear Medical Imaging,519-256-4914,Met standards.
3852223,Dr. Carman M. Iannicello,519-250-4284,Met standards.
5041844,Edinborough Street Radiology Inc.,519-915-2120,Met standards.
2108575,Erie St. Clair Radiology (ESR) Clinics,519-254-7553,Met standards.
2293188,Erie St. Clair Radiology Clinics,519-258-7248,Met standards.
4413503,Precision Diagnostic Imaging,519-254-4555,Met standards.
3319513,The Windsor Surgical Centre,519-252-2020,Facility has not been assessed during current ownership.
4614799,Windsor Sleep Disorders Clinic,519-258-0585,Met standards with some recommendations made for improvement.
1356617,Windsor Vascular Lab,519-254-2897,Met standards.
3149489,Dixie X-Ray Associates - Vaughan,905-850-7478,Met standards.
55287,Dixie X-Ray Associates Limited - Columbus Centre,905-850-7478,Met standards.
6905969,Metro Radiology (Vaughan),416-781-2050,Met standards.
1421632,One Vascular Woodbridge,905-850-2993,Met standards.
4781632,Ontario Diagnostic Centre ODC - Woodbridge,905-856-7061,Met standards.
9361147,Vaughan Imaging Consultants,905-850-7478,Met standards.
4173982,Vaughan Sleep Clinic,905-856-1300,Met standards.
5168762,Westmore Imaging & Cardiology Clinic,905-265-0002,Met standards.
8277482,Windflower Diagnostic Imaging Inc.,905-265-1865,Met standards.
1072608,Windflower Ultrasound,905-265-1865,Met standards.
5465096,iHealthCentre,416-297-8362,Met standards.
3616430,KMH Cardiology Centres Inc.,905-855-1860,Met standards.
2603076,Woodstock Diagnostic Imaging,519-539-8888,Facility has not been assessed during current ownership.
715399,Waterloo X-Ray,519-206-7777,Met standards.
72798,Cliffside X-Ray & Ultrasound Services,416-781-2050,Met standards.
7784189,Dufferin Medical Imaging Centre,416-410-0400,Met standards.
5058744,Excellence Healthcare Xray & Ultrasound,416-782-6333,Met standards.
4461442,Kingsway Imaging Centre Corporation,416-456-4987,Met standards.
7423510,Metro Radiology (L'Amoreaux),416-781-2050,Met standards.
5846720,Metro Radiology (L'Amoureaux),416-781-2050,Met standards.
2045846,Metro Radiology Ltd.,416-781-2050,Met standards.
1462198,"New Jane X-Ray, Ultrasound",647-345-5855,Met standards.
